date,cases_new,cases_recovered
24/2/2020,0,2
25/2/2020,0,0
26/2/2020,0,0
27/2/2020,1,2
28/2/2020,2,0
29/2/2020,0,0
1/3/2020,4,0
2/3/2020,0,0
3/3/2020,7,0
4/3/2020,14,1
5/3/2020,5,0
6/3/2020,28,0
7/3/2020,10,1
8/3/2020,6,1
9/3/2020,18,1
10/3/2020,12,0
11/3/2020,20,1
12/3/2020,9,6
13/3/2020,39,0
14/3/2020,41,4
15/3/2020,190,5
16/3/2020,125,0
17/3/2020,120,7
18/3/2020,117,11
19/3/2020,110,15
20/3/2020,130,12
21/3/2020,153,27
22/3/2020,123,25
23/3/2020,212,20
24/3/2020,106,24
25/3/2020,172,16
26/3/2020,235,16
27/3/2020,130,44
28/3/2020,159,61
29/3/2020,150,68
30/3/2020,156,90
31/3/2020,140,58
1/4/2020,142,108
2/4/2020,208,122
3/4/2020,217,60
4/4/2020,150,88
5/4/2020,179,90
6/4/2020,131,236
7/4/2020,170,80
8/4/2020,156,166
9/4/2020,109,121
10/4/2020,118,222
11/4/2020,184,165
12/4/2020,153,113
13/4/2020,134,168
14/4/2020,170,202
15/4/2020,85,169
16/4/2020,110,119
17/4/2020,69,201
18/4/2020,54,135
19/4/2020,84,95
20/4/2020,36,98
21/4/2020,57,54
22/4/2020,50,103
23/4/2020,71,90
24/4/2020,88,121
25/4/2020,51,99
26/4/2020,38,100
27/4/2020,40,95
28/4/2020,31,75
29/4/2020,94,55
30/4/2020,57,84
1/5/2020,69,39
2/5/2020,105,116
3/5/2020,122,87
4/5/2020,55,71
5/5/2020,30,83
6/5/2020,45,135
7/5/2020,39,74
8/5/2020,68,88
9/5/2020,54,65
10/5/2020,67,96
11/5/2020,70,88
12/5/2020,16,110
13/5/2020,37,58
14/5/2020,40,70
15/5/2020,36,88
16/5/2020,17,73
17/5/2020,22,59
18/5/2020,47,44
19/5/2020,37,31
20/5/2020,31,60
21/5/2020,50,90
22/5/2020,78,63
23/5/2020,48,53
24/5/2020,60,33
25/5/2020,172,34
26/5/2020,187,62
27/5/2020,15,42
28/5/2020,10,86
29/5/2020,103,66
30/5/2020,30,95
31/5/2020,57,23
1/6/2020,38,51
2/6/2020,20,66
3/6/2020,93,61
4/6/2020,277,28
5/6/2020,19,51
6/6/2020,37,25
7/6/2020,19,39
8/6/2020,7,20
9/6/2020,7,281
10/6/2020,2,39
11/6/2020,31,51
12/6/2020,33,103
13/6/2020,43,143
14/6/2020,8,35
15/6/2020,41,54
16/6/2020,11,333
17/6/2020,10,140
18/6/2020,14,127
19/6/2020,6,70
20/6/2020,21,76
21/6/2020,16,10
22/6/2020,15,21
23/6/2020,3,9
24/6/2020,6,45
25/6/2020,4,40
26/6/2020,6,23
27/6/2020,10,14
28/6/2020,18,10
29/6/2020,3,16
30/6/2020,2,20
1/7/2020,1,21
2/7/2020,3,62
3/7/2020,5,9
4/7/2020,10,15
5/7/2020,5,4
6/7/2020,5,11
7/7/2020,6,5
8/7/2020,3,5
9/7/2020,6,13
10/7/2020,13,12
11/7/2020,8,4
12/7/2020,14,4
13/7/2020,7,1
14/7/2020,4,4
15/7/2020,5,2
16/7/2020,3,12
17/7/2020,18,3
18/7/2020,9,5
19/7/2020,15,7
20/7/2020,21,2
21/7/2020,15,7
22/7/2020,16,4
23/7/2020,9,8
24/7/2020,21,3
25/7/2020,23,17
26/7/2020,13,6
27/7/2020,7,1
28/7/2020,39,6
29/7/2020,13,5
30/7/2020,8,5
31/7/2020,12,27
1/8/2020,9,3
2/8/2020,14,17
3/8/2020,2,4
4/8/2020,1,16
5/8/2020,21,18
6/8/2020,15,11
7/8/2020,25,15
8/8/2020,7,47
9/8/2020,13,9
10/8/2020,11,19
11/8/2020,9,6
12/8/2020,11,8
13/8/2020,15,4
14/8/2020,20,7
15/8/2020,26,3
16/8/2020,25,28
17/8/2020,12,17
18/8/2020,7,26
19/8/2020,16,23
20/8/2020,5,7
21/8/2020,9,13
22/8/2020,8,4
23/8/2020,10,10
24/8/2020,7,6
25/8/2020,11,6
26/8/2020,6,7
27/8/2020,5,16
28/8/2020,10,36
29/8/2020,11,8
30/8/2020,17,10
31/8/2020,6,6
1/9/2020,14,21
2/9/2020,6,4
3/9/2020,14,4
4/9/2020,11,9
5/9/2020,6,21
6/9/2020,6,2
7/9/2020,62,9
8/9/2020,100,12
9/9/2020,24,7
10/9/2020,45,24
11/9/2020,182,14
12/9/2020,58,8
13/9/2020,47,7
14/9/2020,31,7
15/9/2020,23,6
16/9/2020,62,26
17/9/2020,21,15
18/9/2020,95,14
19/9/2020,20,51
